dataset_key,title,countryCode,doi,license,type,sub_type,hosting_organization_key,hosting_organization_title,hosting_country,publishing_organization_key,publishing_organization_title,publishing_country,endorsing_node_key,network_keys,project_identifier,occurrence_records_count,name_usages_count
d20e290d-4921-4244-a9a1-59ffa3bfa975,Global Register of Introduced and Invasive Species - Romania,RO,10.15468/fgqcsu,CC_BY_4_0,CHECKLIST,,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,958
ad95a6e9-a462-4bce-838f-bb4cd3296665,Global Register of Introduced and Invasive Species - Belarus,BY,10.15468/r1l7zb,CC_BY_4_0,CHECKLIST,,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,931
ced4b662-2201-4c55-b31b-fc5643a9a72f,Global Register of Introduced and Invasive Species - Lithuania,LT,10.15468/ewm0v1,CC_BY_4_0,CHECKLIST,,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,888
7a9e2043-9b54-4ab8-9bb2-c95341dbee37,Global Register of Introduced and Invasive Species- Egypt,EG,10.15468/osvg4k,CC_BY_4_0,CHECKLIST,INVENTORY_THEMATIC,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,889
e1459ba8-561c-4be1-9ede-c31d16c3ef87,Global Register of Introduced and Invasive Species - Federated States of Micronesia,FM,10.15468/7fannv,CC_BY_4_0,CHECKLIST,,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,BID-PA2016-0005-REG,0,867
168568e7-eb5f-4ef6-8c59-f73ceaf57e91,Global Register of Introduced and Invasive Species - Colombia,CO,10.15468/yznr8v,CC_BY_4_0,CHECKLIST,,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,864
d7193913-6b9e-4e8e-b81a-6f150442842e,"Global Register of Introduced and Invasive Species - La Gomera, Islas Canarias, Spain",ES-CN_LG,10.15468/qn9nxm,CC_BY_4_0,CHECKLIST,,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,860
5fd0d7a4-0381-4d6b-ad34-24e99a7b4247,Global Register of Introduced and Invasive Species - Comoros,KM,10.15468/yyhi3r,CC_BY_4_0,CHECKLIST,,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,845
0620579e-9ee4-453a-be7d-ce14149aec76,Global Register of Introduced and Invasive Species - Libya,LY,10.15468/p4jxvy,CC_BY_4_0,CHECKLIST,,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,838
7b091962-fdb2-49eb-9bfb-7d66561f1a8a,"Global Register of Introduced and Invasive Species - Alaska, United States (ver.2.0, 2022)",US-AK,10.5066/p9kfftod,CC0_1_0,CHECKLIST,,c3ad790a-d426-4ac1-8e32-da61f81f0117,United States Geological Survey,US,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,https://doi.org/10.5066/P9KFFTOD,908,810
46689e23-c7bc-45d1-8cb6-29211cd1ae46,Global Register of Introduced and Invasive Species - Fiji,FJ,10.15468/tzcqmv,CC_BY_4_0,CHECKLIST,,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,812
51f5af06-7176-4ec1-b86e-776d11bc49c8,Global Register of Introduced and Invasive Species - Marshall Islands,MH,10.15468/zeu7p8,CC_BY_4_0,CHECKLIST,,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,BID-PA2016-0005-REG,0,811
cbf356f0-f2a3-48ef-9217-5410654bf2d2,Global Register of Introduced and Invasive Species - Georgia,GE,10.15468/gok5lq,CC_BY_4_0,CHECKLIST,,fbca90e3-8aed-48b1-84e3-369afbd000ce,GBIF Secretariat,ZZ,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,Invasive Species Specialist Group ISSG,IT,7f48e0c8-5c96-49ec-b972-30748e339115,,GRIIS,0,802
